"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
NA,NA,"L’Amministrazione di Calco ha pubblicato:
- notizie utili sui temi dell’efficienza energetica attraverso il suo periodico e la sua newsletter;
- divulgato materiale informativo da recapitare alle famiglie;
- organizzato momenti di approfondimento sui temi legati al risparmio energetico.
",2020,2013,"","Italy","en","Calco"
1.66,NA,"Dall’analisi dei dati riportati nella Baseline, risulta, al 2012( non sono disponibili i dati al 2005) un parco lampade composto da 436 corpi illuminanti; di questi circa il77% risultano essere lampade a vapori di mercurio, quindi a bassa efficienza di proprietà di Enel Sole.
Nel 2013 è avvenuta una riqualificazione rilevante, in quanto circa il 50 % delle lampade è stato sostituito con lampade a led o ai vapori di sodio. 
",2012,2005,"","Italy","it","Calco"
NA,NA,"Il Comune ha inviato agli stakeholder nel mese di marzo 2016 un questionario di sensibilizzazione. Nei prossimi anni sarà fondamentale il coinvolgimento degli stakeholder per poter raggiungere l’obiettivo di riduzione delle emissioni di Co2.",2020,2013,"","Italy","it","Calco"
16.88,35000,"Canvi de làmpades de VSAP a LED
",2015,2014,"","Spain","ca","Calders"
5.14,2800,"La implantació del projecte educatiu es va realitzar en dos anys, el primer els alumnes junt equip col·laborador extern van realitzar una auditoria energètica més l'aplicació petits canvi d'hàbits per part alumnat i professorat, i amb el que es va estalviar l'hivern següent es van plantar fins a 34 arbres al pati de l'escola. L'any següent amb tot lo après l'Escola va permetre adherir-se al programa Euronet 50/50 Max i es va constituir un Equip Energètic

",2015,2013,"","Spain","ca","Calders"
14.22,38000,"Caldera de biomassa centralitzada per calefacciói ACS del Centre Cultural, Centre Cívic i el Casal",2014,2010,"","Spain","ca","Calders"
6.28,10000,"S'ha instal·lat energia solar tèrmica a la piscina municipal per a dutxes i per calefactar l'aigua del vas de piscina",2020,2010,"","Spain","ca","Caldes d'Estrac"
NA,18000,"S'ha millorat el sistema de gestió d el'enllumenat que incorpora la telegestió",2012,2010,"","Spain","ca","Caldes d'Estrac"
152.24,7500,"S'ha instal·lat una fotovoltaica que es va pensar per abocar a xraxa i vendre.",2012,2010,"","Spain","ca","Caldes d'Estrac"
503.47,NA,"The municipality has chosen to contract electricity through the Catalan Association of Municipalities, which encourages competitive pricing and service because it is based on aggregate purchase.
From 1 April 2015, the energy supplied through this contract is certified as 100% green energy.
",2015,2013,"","Spain","en","Caldes de Malavella"
49.33,173502.65,"Originally it had considered the installation of a biomass boiler at the Sports Pavilion, but finally a heating network has been projected and it also covers the future changing room of the  multipurpose space.
The project, which is ongoing, involves the installation of a network consisting of a central thermal power generation with biomass, a silo and a boiler room. The installation will have a power of 200kW and works with chip forest.",2020,2017,"","Spain","en","Caldes de Malavella"
190.43,275000,"Of the 1.113 mercury vapor ligths that were taken into account during the drafting of the 2013 SEAP, a total of 727 points have been replaced to high pressure sodium vapor.
This amount corresponds to all the lightning electrical pannels related to the original file except the  C / Josep Soler (not expected to urbanization) and pannels corresponding to the Llac dels Cignes.",2020,2013,"","Spain","en","Caldes de Malavella"
86.58,316000,"Installing solar thermal at the swimming pool",2015,2010," http://www.termotur.com/media/publicacions/2009-06-19-anunci-pdf.pdf ","Spain","en","Calella"
703.9,723130,"Replacing public lighting with more efficient tecnology ligths",2015,2010," http://www.radiocalella.cat/sultima-la-renovacio-total-de-lenllumenat-public-de-calella/ ","Spain","en","Calella"
19.11,146894,"Installining photovoltaic pannels at the Police headquarters",2015,2010,"","Spain","en","Calella"
1.45,12445,"Substitució de vehicles de la flota per d'altres menys emissors",2017,2013,"","Spain","ca","Calldetenes"
20.95,700,"Aplicació del programa Desendolla't de l'Agència Local d'Energia d'Osona a l'Escola Sant Marc",2020,2012,"","Spain","ca","Calldetenes"
2.05,700,"Aplicació del projecte Desendolla't de l'Agència Local d'Energia d'Osona a l'escola bressol",2020,2015,"","Spain","ca","Calldetenes"
19.19,150000,"Instal·lació de caldera de gas natural al CEIP Joventut i instal·lació de calderes de biomassa per a la calefacció al Casal del Poble i Escoles Velles",2013,2011,"","Spain","en","Callús"
83.17,17339.41,"Canvi de les làmpades de l'enllumenat públic a tecnologia LED a la Crta. de Cardona i al C. Joan XXIII
",2020,2011,"","Spain","ca","Callús"
58.58,15000,"S'han dut a terme actuacions per millorar l'eficiència energètica dels equipaments. a partir de la informació de les visites i de les auditories efectuades.",2020,2010,"","Spain","ca","Callús"
41,8500,"INTERVENTI DI AMMODERNAMENTO DEL PARCO AUTO
COMUNALE E POLITICHE DI INCENTIVAZIONE VEICOLI
A BASSO IMPATTO AMBIENTALE: PROGETTO PILOTA
“RETE DI MOBILITÀ ELETTRICA INTERCOMUNALE CON
CENTRI DI RICARICA PRESSO EDIFICI PUBBLICI”",2020,2014,"","Italy","it","Calore e Alburni"
518,55000,"Il progetto ha previsto l’implementazione di impianti fotovoltaici nei seguenti edifici di proprietà comunale:
1-	Scuola Tempalta - 6,0 KWp - importo €. 18.000,00 
2-	Scuola Elementare G. Marconi - 8,5 KWp - importo €. 23.500,00 
3-	Casa Comunale - 8,5 KWp - importo €. 23.500,00 
Gli interventi sono stati finanziati a valere sul PON FESR 2007-2013 ASSE II “QUALITÀ DEGLI AMBIENTI SCOLASTICI” – OBIETTIVO C “AMBIENTI PER L’APPRENDIMENTO” 2007.",2016,2013,"","Italy","it","Calore e Alburni"
NA,16711,"Installazione di una casa dell'acqua per diminuire la produzione di rifiuti in plastica sul territorio comunale e incentivare l'uso e il riuso del vetro, quale imballaggio dell'acqua e delle bevande.",2020,2014,"","Italy","it","Calore e Alburni"
4809.41,20,"Campaña de sensibilización",2020,2012,"","Spain","en","Calp"
2630.44,1500,"El 25 de noviembre de 2014 se celebró una jornada con diferentes ponencias presentadas por autoridades provinciales, locales y establecimientos hoteleros y turísticos sobre buenas prácticas en el sector turístico",2020,2012,"","Spain","en","Calp"
286.25,834,"Formación de 1 Técnico Municipal como ""Gestor Energético Municipal"" recibiendo un curso de 120 horas en colaboración con la Agencia Provincial de la Energía .",2020,2012,"","Spain","es","Calp"
21.5,15000,"La casetta dell'Acqua è stata inaugurata ad Aprile 2014. Con questo servizio pubblico si può godere di acqua controllata, di qualità e a chilometro zero. Infatti essa arriva direttamente dalla fonte (rete idrica) e, dopo avere subito un trattamento di refrigerazione, microfiltrazione e sterilizzazione, viene resa al consumatore gassata o naturale.",2014,2012," http://www.comune.caluscodadda.bg.it/eventi.aspx?id=395 ","Italy","it","Calusco d'Adda"
20.5,29000,"sostituzione caldaie scuola materna di via Risorgimento e caserma carabinieri ",2016,2012,"","Italy","it","Calusco d'Adda"
106.4,301800,"riqualificazione energetica spogliatoi campo sportivo",2020,2011,"","Italy","it","Calusco d'Adda"
18.7,114000,"L'Amministrazione Comunale sta provvedendo a sostituire i vecchi corpi illuminanti con nuovi corpi a LED. Per il momento gli interventi sono stati eseguiti in via Rivierasca e in via dei Pioppi. ",2014,1999,"","Italy","it","Calusco d'Adda"
49,2200000,"metanbizzazione della rete gas gpl",2013,2011,"","Italy","en","Calvello"
18,650000,"The Municipality of Calvello is
planning to use oil  royalties, from oil companies operating in the
region, for financing renewable energy projects at the local level. The aim is
to use revenues coming from the oil sector to support the transition to a
system based on energy self-sufficiency. In this context Calvello Municipality
has already banned two call:Municipal Financing  for n° 79 “low emission boiler”;Municipal Financing  for  n° 45 “3 KW power photovoltaic
plants”;

Calvello along with other neighboring
municipalities intends to become
a model for other regional cities, in terms of energy policies aiming at the democratization of energy.
The core of this concept is to finance small
energy plants at the service of
the buildings of the citizens rather than large power renewable plant.

",2012,2010,"","Italy","it","Calvello"
582,7658000,"Riqualificazione dell'involucro degli edifici privati",2020,2011,"","Italy","en","Calvello"
4.5,5000,"Cappotto su di un lato della palestra",2016,2015,"","Italy","it","Calvenzano"
22.7,63000,"Pista ciclo-pedonale Via Roma Via Caravaggio.",2016,2015,"","Italy","it","Calvenzano"
NA,2e+05,"Realizzazione pista ciclo pedonale interna al centro abitato.",2016,2015,"","Italy","it","Calvenzano"
29200,NA,"Instalación de la red de gas canalizado en el municipio que desplaza el consumo de combustibles fósiles para producir energía en Calvià, lo que supone una importantísima reducción de las emisiones de CO2.",2018,2013,"","Spain","es","Calvià"
1940,250000,"Public Lighting Efficiency Plan, which aims to the objective of reduce 28% of the total municipal public light consumption for the year 2016 and represent a total reduction of 2.100 MWh",2016,2013,"","Spain","en","Calvià"
27180,NA,"Se pretende fomentar el uso de vehículos eléctricos mediante incentivos fiscales. Se ha aprobado una reducción del 95% del Impuesto de Vehículos de Tracción Mecánica para vehículos menos contaminantes y se ha eliminado la tasa por estacionamiento (ORA), para los vehículos eléctricos.",2020,2012,"","Spain","es","Calvià"
930.18,155000,"Enhance of cycling mobility.",2020,2008,"","Spain","en","Camas"
1962.45,40093000,"mprovement of public transport systems.",2020,2008,"","Spain","en","Camas"
1196.55,358000,"Enhance of pedestrian mobility.",2020,2008,"","Spain","en","Camas"
25,500,"Si è provveduto a portare a conoscenza dei cittadini gli obiettivi previsti dal PAES e ad ascoltare le opinioni e le riflessioni di tutti gli stakeholders coinvolti al fine di stabilire le priorità maggiormente condivise e percepite come importanti. L’attività di sensibilizzazione comprende azioni specifiche dirette a certe tipologie di stakeholders ed azioni generali dirette a tutti: conferenze, energy day, campagna di informazione (manifesti, volantini, totem presso la casa comunale, ecc…).",2020,2015,"","Italy","it","Camastra"
37.5,85000,"Il plesso scolastico dell’I.C. “S.G. Bosco” sito a Camastra in Via Rombò, è stato soggetto ad una ristrutturazione importante i cui lavori sono stati finanziati con fondi PON 2007-2013 e Ministeriali (MIT in collaborazione col MIUR), per un importo complessivo di circa 360.000€.
Gli interventi di efficientamento energetico (circa 85.000€) sono stati: sostituzione di parte degli infissi con telaio a taglio termico e vetro doppio, installazione di caldaia pressurizzata ad elevata efficienza e scaldini elettrici, relamping. Inoltre è stato realizzato un impianto FV da 4,5 kW (circa 15.000€).
",2020,2013," http://www.comunedicamastra-agrigento.it/Inaugurazione%20scuola/index.html ","Italy","it","Camastra"
140.49,440900,"L’Amministrazione Comunale ha promosso la valorizzazione dell’energia rinnovabile fotovoltaica con azioni di sensibilizzazione presso i cittadini e gli operatori economici. Sulla base del sistema di incentivazione del conto energia e, recentemente con le detrazioni fiscali, è risultato conveniente installare questa tipologia di impianti. Oltre agli impianti installati al 31/12/2011, nel periodo 2012-2016 nel Comune di Camastra sono stati installati più di 22 impianti FV per una potenza totale di oltre 175 kW, utilizzati prevalentemente per l’autoconsumo.",2020,2012,"","Italy","it","Camastra"
